pnum,age,major,Monday,nativeEng,race,sex,yrCollege
1, ,kine, ,y,A,f,fres
2,18,Chil, ,y,A,f,Fres
3,20,tv, ,y,W,f,fres
4,19,Span, ,n,H,f,soph
6,19,Biol, ,y,A,m,Fres
7,18,Kine, ,y,W,f,Fres
8,20,Elec, ,n,A,m,Soph
9,19,busi, ,y,W,m,soph
10,18,Kine, ,y,H,f,1st
11,18,busi, ,y,A,f,fres
14,18,Ling, ,y,M,f,1
16,18,nurs, ,y,W,f,fres
17,18,civi, ,n,A,m,1
19,18,nurs, ,y,H,f,fres
20,19,tele, ,n,A,m,2009
22,19,Biol, ,n,A,f,Firs
23,19,art, ,y,W,f,fres
24,18,Recr, ,y,A,f,Fres
25,18,Pre-, ,n,H,m,Fres
26,20,Gero, ,y,H,f,Soph
29,19,Chid, ,y,A,f,Soph
30,18,kins, ,n,H,m,fres
32,20,Busi, ,y,W,m,Juni
33,19,Film, ,y,M,m,Soph
35,19,Poli, ,y,W,f,Soph
38,20,Libe, ,y,W,f,Seco
39,18,Hosp, ,y,A,f,Seco
40,19,Nurs, ,y,A,m,2nd
42,19,Comm, ,y,B,f,soph
43,21,Psyc, ,n,H,m,2
44,20,Biol, ,n,A,m,Soph
47,19,Pre-, ,y,W,f,Soph
49,19,Kine, ,y,W,m,Juni
52,19,food, ,y,W,f,1
54,22,grap, ,y,H,f,san
55,28,Mark, ,y,H,m,Juni
