prime,prime.result,target,congruent,operand,distance,counterbalance,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
=1+2+9,12,8,no,A,4,2,700,908,737,596,735,596,628,457,736,839,943,596,700,804,701,492,737,560,872,492,628
=1+3+6,10,14,no,A,-4,2,559,945,840,839,664,840,595,596,456,597,736,628,664,595,805,700,595,560,736,559,524
=1+5+3,9,12,no,A,-3,2,803,803,595,873,872,872,736,493,737,736,872,664,768,1084,628,596,664,524,767,524,560
=1+6+2,9,10,no,A,-1,2,628,663,596,628,596,700,560,492,804,524,699,,664,628,663,456,492,699,523,805,524
=1+7+2,10,11,no,A,-1,2,665,768,664,872,804,628,804,561,596,560,700,559,701,595,804,561,628,737,768,524,595
=2+3+5,10,12,no,A,-2,2,701,908,664,628,700,560,628,492,700,769,804,628,976,559,735,596,664,628,908,700,628
=2+4+5,11,10,no,A,1,2,701,803,596,664,665,700,524,628,736,664,664,664,664,596,628,456,560,597,944,492,524
=2+6+4,12,9,no,A,3,2,628,664,699,664,700,700,560,560,872,595,628,524,595,595,628,,560,628,804,559,523
=2+7+5,14,13,no,A,1,2,735,769,840,736,736,1153,596,523,664,664,737,559,664,700,701,419,560,663,701,525,628
=2+8+1,11,13,no,A,-2,2,737,735,839,737,561,,628,524,628,596,664,596,664,700,804,524,664,595,872,560,628
=3+1+4,8,9,no,A,-1,2,699,1048,524,804,735,,628,560,664,597,872,596,597,596,665,492,628,1048,944,492,524
=3+2+4,9,11,no,A,-2,2,841,737,805,804,804,804,560,523,628,701,664,1151,700,736,700,700,628,628,908,596,664
=3+2+6,11,13,no,A,-2,2,908,700,908,872,560,664,596,560,736,561,840,872,700,663,768,492,628,663,736,596,595
=3+7+1,11,9,no,A,2,2,840,700,596,736,700,,524,628,596,628,976,664,629,628,664,493,492,664,700,561,596
=4+1+5,10,12,no,A,-2,2,767,873,664,840,769,,628,595,701,596,769,736,735,664,840,523,628,769,976,664,595
=4+1+6,11,12,no,A,-1,2,699,,840,768,,700,840,524,597,804,872,664,736,664,872,,664,595,840,523,628
=4+2+3,9,12,no,A,-3,2,,944,664,803,700,977,664,524,419,596,768,559,735,804,736,524,,736,1012,420,560
=4+2+6,12,10,no,A,2,2,768,768,628,664,872,840,735,628,596,663,1012,700,560,629,,561,492,628,664,420,595
=4+2+7,13,9,no,A,4,2,700,840,664,700,595,,664,456,628,628,596,664,627,628,525,524,664,628,803,492,597
=4+5+1,10,11,no,A,-1,2,840,,735,628,628,871,804,804,596,596,803,664,,596,804,523,700,977,737,524,596
=4+5+2,11,9,no,A,2,2,,945,872,804,665,664,560,456,664,561,804,,628,595,736,560,456,628,736,491,595
=4+7+1,12,10,no,A,2,2,976,664,,663,737,595,664,560,595,560,699,595,596,597,664,421,492,596,735,492,596
=5+1+2,8,13,no,A,-5,2,700,665,,699,664,736,628,737,664,560,1048,560,663,664,767,493,525,597,1048,628,559
=5+3+1,9,10,no,A,-1,2,840,664,628,664,665,596,559,523,803,628,803,595,595,628,595,491,595,,805,492,664
=5+3+2,10,12,no,A,-2,2,701,872,1012,804,768,664,664,525,627,664,841,945,701,701,840,524,628,628,1085,560,736
=5+3+4,12,11,no,A,1,2,,840,700,700,769,804,629,,664,767,804,664,663,524,803,525,493,664,664,,595
=6+1+5,12,13,no,A,-1,2,700,841,700,737,664,735,737,420,664,944,560,841,664,628,627,456,628,560,803,492,385
=6+2+1,9,14,no,A,-5,2,736,872,628,628,628,664,736,628,664,596,560,768,595,595,736,420,737,561,840,699,596
=6+2+3,11,12,no,A,-1,2,767,700,840,596,804,803,596,628,872,596,841,525,909,768,872,559,524,840,943,595,700
=6+4+2,12,11,no,A,1,2,943,700,700,840,595,908,664,559,628,596,664,700,596,560,700,627,664,492,873,525,596
=6+4+3,13,12,no,A,1,2,840,,664,840,628,840,737,524,664,628,840,559,736,700,768,628,597,628,909,561,524
=6+5+2,13,10,no,A,3,2,664,596,664,628,736,561,804,456,736,628,873,872,629,524,664,596,628,596,664,560,523
=7+2+3,12,13,no,A,-1,2,700,701,909,701,664,872,595,629,701,596,597,664,596,628,664,523,628,805,768,492,597
=7+3+1,11,12,no,A,-1,2,767,871,804,840,768,872,700,597,840,663,908,872,492,699,699,524,700,628,804,596,699
=7+3+2,12,8,no,A,4,2,804,804,525,628,736,628,803,492,492,595,907,596,628,736,664,596,491,561,840,492,664
=7+3+4,14,11,no,A,3,2,945,315,700,872,840,,664,595,561,596,975,596,664,561,700,628,737,560,840,524,596
=8+2+3,13,9,no,A,4,2,595,736,628,628,664,664,597,456,595,628,560,560,628,597,664,493,628,596,737,140,597
=9+1+2,12,11,no,A,1,2,700,803,,872,664,768,596,840,737,664,664,737,628,700,909,627,595,628,804,559,664
=9+1+3,13,12,no,A,1,2,700,1084,628,840,699,840,735,560,664,664,1085,628,737,700,804,524,596,525,976,596,596
=9+3+1,13,11,no,A,2,2,736,,871,664,804,1219,,,768,664,700,384,628,664,768,524,627,736,908,595,597
=1+2+5,8,8,yes,A,0,2,700,804,804,627,664,768,629,456,908,524,628,628,596,628,596,523,628,803,736,665,665
=1+3+5,9,9,yes,A,0,2,664,700,736,628,524,736,524,560,628,559,627,628,735,628,804,525,492,664,,492,523
=1+4+3,8,8,yes,A,0,2,736,,768,664,628,737,629,560,596,596,664,248,735,735,628,560,663,737,736,525,561
=1+6+3,10,10,yes,A,0,2,943,560,663,872,560,976,664,456,736,664,737,597,840,560,628,524,524,,664,559,456
